gid,name,year,winter_sst,spring_sst,summer_sst,fall_sst
10,Savannah,1986,12.6666666666667,17.4166666666667,21.75,17.3333333333333
10,Savannah,1987,12.3333333333333,17.6666666666667,22.0833333333333,14.5
10,Savannah,1988,11.8333333333333,16.5,21.0833333333333,14.3333333333333
10,Savannah,1989,12.5,17.25,21.25,14.4166666666667
10,Savannah,1990,12.5,17.75,21.8333333333333,16
10,Savannah,1991,12.5833333333333,18.25,21.4166666666667,15.4166666666667
10,Savannah,1992,11.9166666666667,17,21.4166666666667,15
10,Savannah,1993,12.3333333333333,17.1666666666667,22.0833333333333,16.0833333333333
10,Savannah,1994,12.3333333333333,18.0833333333333,20.9166666666667,15.8333333333333
10,Savannah,1995,11.8333333333333,17.6666666666667,21.3333333333333,14.6666666666667
10,Savannah,1996,11.5,17.6666666666667,21.25,14.3333333333333
10,Savannah,1997,13.3333333333333,17.1666666666667,21.3333333333333,15.5
10,Savannah,1998,10.9166666666667,17.8333333333333,21.4166666666667,17
10,Savannah,1999,12.9166666666667,17.4166666666667,21.5,15.4166666666667
10,Savannah,2000,11.3333333333333,17.9166666666667,21.25,14.8333333333333
10,Savannah,2001,10.6666666666667,17.25,21.4166666666667,15.9166666666667
10,Savannah,2002,11.75,18.25,21.6666666666667,15.75
10,Savannah,2003,12.5,18.3333333333333,20.9166666666667,15.6666666666667
10,Savannah,2004,11.5833333333333,17.5833333333333,21.3333333333333,15.8333333333333
10,Savannah,2005,11.3333333333333,16.9166666666667,21.8333333333333,15.5833333333333
10,Savannah,2006,10.9166666666667,17.75,21.9166666666667,15.6666666666667
10,Savannah,2007,12,17.1666666666667,21.8333333333333,16.3333333333333
10,Savannah,2008,12.25,17.5,21.0833333333333,15.0833333333333
10,Savannah,2009,11.5833333333333,17.5,21.0833333333333,15.9166666666667
10,Savannah,2010,10.8333333333333,17.8333333333333,21.9166666666667,15.3333333333333
11,Santee,1900,15.75,21.75,26.25,20.5
11,Santee,1901,15.5,21.25,25.8333333333333,18.6666666666667
11,Santee,1902,14.25,22.1666666666667,25.5,21
11,Santee,1903,16.3333333333333,21.5,25.9166666666667,19.5833333333333
11,Santee,1904,15.3333333333333,21.8333333333333,25.5833333333333,18.8333333333333
11,Santee,1905,14.5,22.5833333333333,25.6666666666667,19.9166666666667
11,Santee,1906,16.4166666666667,21.8333333333333,25.5,19.5
11,Santee,1907,17.1666666666667,21.6666666666667,25.75,19.8333333333333
11,Santee,1908,15.75,22.9166666666667,25.9166666666667,19.75
11,Santee,1909,16.6666666666667,22.1666666666667,26.0833333333333,19.4166666666667
11,Santee,1910,16,22.4166666666667,25.4166666666667,19.3333333333333
11,Santee,1911,17.3333333333333,22.1666666666667,25.75,20.5833333333333
11,Santee,1912,16.4166666666667,22.6666666666667,26.4166666666667,20.3333333333333
11,Santee,1913,17.5833333333333,21.8333333333333,25.75,19.75
11,Santee,1914,15.75,22.0833333333333,25.6666666666667,20.6666666666667
11,Santee,1915,16.25,22.25,26.25,21
11,Santee,1916,17.3333333333333,22.4166666666667,25.9166666666667,20.0833333333333
11,Santee,1917,16.3333333333333,21.9166666666667,25.5833333333333,19.1666666666667
11,Santee,1918,16.3333333333333,22.5,25.75,20.4166666666667
11,Santee,1919,16.4166666666667,22.25,25.3333333333333,21.25
11,Santee,1920,15.6666666666667,22,25.9166666666667,20.25
11,Santee,1921,17.9166666666667,22.8333333333333,25.8333333333333,20.9166666666667
11,Santee,1922,17.3333333333333,23.0833333333333,25.5,21.1666666666667
11,Santee,1923,17.8333333333333,23,25.6666666666667,20.1666666666667
11,Santee,1924,16.4166666666667,22.75,26.3333333333333,20.3333333333333
11,Santee,1925,17.75,22.75,26.0833333333333,20.9166666666667
11,Santee,1926,16.25,22.25,26.25,21.5833333333333
11,Santee,1927,17.75,23,26.25,21
11,Santee,1928,16.5833333333333,22.25,25.9166666666667,21.0833333333333
11,Santee,1929,17.6666666666667,23.0833333333333,25.8333333333333,20.9166666666667
11,Santee,1930,18.3333333333333,22.6666666666667,26.0833333333333,20.0833333333333
11,Santee,1931,15.5,21.9166666666667,26.3333333333333,21.8333333333333
11,Santee,1932,18.5833333333333,22.6666666666667,26.1666666666667,21.0833333333333
11,Santee,1933,18.0833333333333,22.8333333333333,26.3333333333333,20.75
11,Santee,1934,17,22.5833333333333,26.5,20.75
11,Santee,1935,17.3333333333333,23,26,20.5833333333333
11,Santee,1936,16.5833333333333,22.4166666666667,26.3333333333333,21
11,Santee,1937,18.75,23,26.25,20.1666666666667
11,Santee,1938,17.5833333333333,23.1666666666667,26.0833333333333,21
11,Santee,1939,18.1666666666667,23.1666666666667,26.0833333333333,20.6666666666667
11,Santee,1940,15,21.9166666666667,26.1666666666667,21.0833333333333
11,Santee,1941,16.1666666666667,22,25.9166666666667,21.5833333333333
11,Santee,1942,15.6666666666667,22.1666666666667,26.5,20.1666666666667
11,Santee,1943,16.8333333333333,22.0833333333333,25.5833333333333,19.9166666666667
11,Santee,1944,17.3333333333333,23,25.5,19.75
11,Santee,1945,17.8333333333333,22.6666666666667,25,19.6666666666667
11,Santee,1946,16.4166666666667,22.3333333333333,25.6666666666667,20.8333333333333
11,Santee,1947,16.25,22.0833333333333,26.0833333333333,20.25
11,Santee,1948,16.75,23,25.75,20.4166666666667
11,Santee,1949,18.5,22.5833333333333,26,21.0833333333333
11,Santee,1950,18.75,22.5833333333333,26,20.3333333333333
11,Santee,1951,16.9166666666667,21.9166666666667,26.4166666666667,21
11,Santee,1952,17.0833333333333,22.75,26.3333333333333,20.5
11,Santee,1953,17,22.5,25.75,20.5
11,Santee,1954,16.4166666666667,22.8333333333333,26.4166666666667,19.9166666666667
11,Santee,1955,16.25,21.5,26.3333333333333,20.8333333333333
11,Santee,1956,16.9166666666667,21.6666666666667,26.25,20.75
11,Santee,1957,18,23,26.25,20.25
11,Santee,1958,14.1666666666667,20.4166666666667,26.3333333333333,19.9166666666667
11,Santee,1959,17,22.5,26.6666666666667,20.9166666666667
11,Santee,1960,16.0833333333333,22.0833333333333,26.5833333333333,21.3333333333333
11,Santee,1961,16.8333333333333,22.25,26.3333333333333,20.9166666666667
11,Santee,1962,17,22.6666666666667,26.5833333333333,19.9166666666667
11,Santee,1963,16.25,22.1666666666667,26.25,19.9166666666667
11,Santee,1964,15.4166666666667,22.5833333333333,25.6666666666667,20.75
11,Santee,1965,16.75,22.4166666666667,25.9166666666667,20
11,Santee,1966,15.5,20.5833333333333,25.6666666666667,19.8333333333333
11,Santee,1967,15.8333333333333,20.8333333333333,25.0833333333333,19.75
11,Santee,1968,15.1666666666667,21.8333333333333,26.1666666666667,19.75
11,Santee,1969,14.75,21.75,26.1666666666667,18.6666666666667
11,Santee,1970,14.25,21.9166666666667,26.1666666666667,20.0833333333333
11,Santee,1971,15.4166666666667,20.5833333333333,26.0833333333333,20.4166666666667
11,Santee,1972,16.25,20.6666666666667,25.3333333333333,20.5833333333333
11,Santee,1973,16.6666666666667,22.0833333333333,26.5,20.8333333333333
11,Santee,1974,17.9166666666667,21.5,26,20
11,Santee,1975,17.1666666666667,22.5,26.4166666666667,21.4166666666667
11,Santee,1976,16.6666666666667,22.5,25.5833333333333,19.1666666666667
11,Santee,1977,14.75,22.4166666666667,26.75,21
11,Santee,1978,15.0833333333333,21.5,26.25,20.6666666666667
