;NOM;ID;Long;Lat;Year;Winter;Spring;summer;Autumn
140;Ulla;288;-8.75;42.75;1802;8.835502856;12.93660482;17.83156794;11.34443988
141;Urumea;282;-1.75;43.25;1802;4.792089289;11.55380804;16.6441151;7.156072443
142;Vida;173;8.75;54.75;1802;3.177817605;11.09049849;17.66496785;8.021859834
143;Vilaine;176;-2.25;47.75;1802;9.378541889;14.19805076;19.14587865;12.56792935
144;Vire;178;-1.25;49.25;1802;7.613628041;12.98177268;18.02831199;11.20263672
145;Weser;183;8.75;53.25;1802;3.205402721;12.02113111;18.31683072;7.514377478
146;Yser;187;2.75;51.25;1802;5.436009263;13.07093302;18.55302198;9.293292421
147;Aa;1;2.25;50.75;1803;5.901188706;12.74660145;18.17791933;9.775341612
148;Adour;3;-0.75;43.75;1803;10.8478634;16.13125055;21.18066684;13.69873417
149;Ason;289;-3.25;43.25;1803;11.59657426;15.41549405;20.18143995;14.64063795
150;Aulne;14;-4.25;48.25;1803;8.606478604;12.90419885;17.49279323;11.68520008
151;Authie;15;1.75;50.25;1803;5.242026589;12.75550241;17.98976921;8.570819277
152;Auzance;16;-1.75;46.75;1803;7.566385905;14.15767693;19.49963749;10.54699707
153;Bidassoa;284;-1.75;43.25;1803;4.792089289;11.55380804;16.6441151;7.156072443
154;Blavet;23;-3.25;47.75;1803;6.987771699;12.50595925;17.39588512;10.01198971
155;Bresle;25;1.25;50.25;1803;5.242026589;12.75550241;17.98976921;8.570819277
156;Canche;29;1.75;50.25;1803;5.901188706;12.74660145;18.17791933;9.775341612
157;Charente;32;-0.75;45.75;1803;9.818679347;15.15386038;20.37257709;12.84755268
158;Couesnon;36;-1.25;48.75;1803;5.677861069;12.2919478;17.41498912;8.589176987
159;Deva_Cares;279;-2.25;43.25;1803;5.127417362;11.26612623;16.1364071;7.405676639
160;Dives;41;-0.25;49.25;1803;6.758378462;12.95171287;18.22304281;10.38011031
161;Douro;45;-8.25;41.25;1803;9.699079109;14.340861;19.89746094;12.23048817
162;Douve;46;-1.25;49.25;1803;7.613628041;12.98177268;18.02831199;11.20263672
163;Drammens;47;10.25;59.75;1803;-5.519149318;6.532294996;13.67980865;-0.276583585
164;Eider;331;7.25;53.25;1803;3.205402721;12.02113111;18.31683072;7.514377478
165;Elbe;51;9.5;53.75;1803;2.137810909;12.07003229;18.29514012;6.122696385
166;Elorn;52;-4.25;48.25;1803;8.606478604;12.90419885;17.49279323;11.68520008
167;Ems;53;7.25;53.25;1803;4.454292066;11.80048347;18.33567486;9.227103493
168;Eo;290;-7.25;43.75;1803;11.1922182;14.18814457;18.59494666;14.03218772
169;Escaut;55;4.25;51.25;1803;4.440815319;13.06289303;18.43088693;8.060631954
170;Esva;281;-6.25;43.75;1803;11.1922182;14.18814457;18.59494666;14.03218772
171;Garonne;60;-0.75;45.25;1803;7.51587284;15.05742853;20.7118669;10.11161943
172;Glomma;62;11.25;59.75;1803;-4.918642911;9.0286819;15.39473193;0.139831543
173;Guadalquivir;67;-6.25;37.25;1803;10.32131033;18.05650561;25.90169363;13.50355484
174;Guadiana;68;-7.25;37.25;1803;14.05715388;18.58301706;23.99671705;17.19185754
175;Lagen;82;10;59.25;1803;-5.519149318;6.532294996;13.67980865;-0.276583585
176;Landro;315;-7.75;43.75;1803;11.1922182;14.18814457;18.59494666;14.03218772
177;Lay;84;-1.25;46.25;1803;7.566385905;14.15767693;19.49963749;10.54699707
178;Leff;85;-3.25;48.75;1803;6.987771699;12.50595925;17.39588512;10.01198971
179;Leguer;86;-3.25;48.75;1803;8.606478604;12.90419885;17.49279323;11.68520008
180;Lerez;314;-8.75;42.25;1803;8.835502856;12.93660482;17.83156794;11.34443988
181;Leyre;87;-0.75;44.75;1803;10.8478634;16.13125055;21.18066684;13.69873417
182;Lima;88;-8.75;41.75;1803;9.699079109;14.340861;19.89746094;12.23048817
183;Loire;89;-1.75;47.25;1803;7.566385905;14.15767693;19.49963749;10.54699707
184;Mandeo;313;-8.25;43.25;1803;11.75158321;14.37333818;18.59331258;14.51383556
185;Masma;312;-7.25;43.75;1803;11.1922182;14.18814457;18.59494666;14.03218772
186;Meuse;96;5.5;51.75;1803;4.440815319;13.06289303;18.43088693;8.060631954
187;Minho;98;-8.25;42.25;1803;9.699079109;14.340861;19.89746094;12.23048817
188;Mondego;100;-8.25;41.25;1803;10.67191199;15.79515862;21.74330648;13.3003725
189;Nalon_Narcea;278;-6.25;43.75;1803;11.29150021;14.39355376;18.89823128;14.25630327
190;Nansa;292;-4.25;43.25;1803;4.283385306;10.24005774;15.1464742;6.7069286
191;Navia;103;-6.25;43.25;1803;11.1922182;14.18814457;18.59494666;14.03218772
192;Nervion;286;-3.25;43.25;1803;5.127417362;11.26612623;16.1364071;7.405676639
193;Nivelle;110;-1.75;43.25;1803;4.792089289;11.55380804;16.6441151;7.156072443
194;Odet;112;-4.25;48.25;1803;8.606478604;12.90419885;17.49279323;11.68520008
195;Oria;285;-2.25;43.25;1803;5.127417362;11.26612623;16.1364071;7.405676639
196;Orne;116;-0.25;49.25;1803;6.758378462;12.95171287;18.22304281;10.38011031
197;Otra;117;7.75;58.25;1803;1.782507694;9.845048384;16.14298688;6.45211607
198;Pas;291;-3.75;43.25;1803;11.80496863;15.00991636;19.59674442;14.86858668
199;Rance;124;-1.75;48.75;1803;5.677861069;12.2919478;17.41498912;8.589176987
200;Rhine;125;5.5;51.75;1803;5.225951224;12.3341721;18.31437267;9.587588224
201;Sado;128;-8.75;38.25;1803;11.67256673;17.17756237;23.25135202;14.58092429
202;Scorff;133;-3.25;47.75;1803;6.987771699;12.50595925;17.39588512;10.01198971
203;Seine;136;0.75;49.25;1803;6.758378462;12.95171287;18.22304281;10.38011031
204;Sella;280;-5.25;43.25;1803;11.29150021;14.39355376;18.89823128;14.25630327
205;Selune;137;-1.25;48.75;1803;5.677861069;12.2919478;17.41498912;8.589176987
206;Seudre;138;-0.75;45.75;1803;9.818679347;15.15386038;20.37257709;12.84755268
207;Sevre_Niortaise;140;-1.25;46.25;1803;7.566385905;14.15767693;19.49963749;10.54699707
208;Sienne;319;-1.75;48.75;1803;5.677861069;12.2919478;17.41498912;8.589176987
209;Somme;146;1.75;50.25;1803;5.242026589;12.75550241;17.98976921;8.570819277
210;Tagus;151;-8.75;39.25;1803;11.67256673;17.17756237;23.25135202;14.58092429
211;Touques;162;0.75;49.25;1803;6.758378462;12.95171287;18.22304281;10.38011031
212;Trieux;165;-3.25;48.75;1803;6.987771699;12.50595925;17.39588512;10.01198971
213;Ulla;288;-8.75;42.75;1803;8.835502856;12.93660482;17.83156794;11.34443988
214;Urumea;282;-1.75;43.25;1803;4.792089289;11.55380804;16.6441151;7.156072443
215;Vida;173;8.75;54.75;1803;3.177817605;11.09049849;17.66496785;8.021859834
216;Vilaine;176;-2.25;47.75;1803;9.378541889;14.19805076;19.14587865;12.56792935
217;Vire;178;-1.25;49.25;1803;7.613628041;12.98177268;18.02831199;11.20263672
218;Weser;183;8.75;53.25;1803;3.205402721;12.02113111;18.31683072;7.514377478
219;Yser;187;2.75;51.25;1803;5.436009263;13.07093302;18.55302198;9.293292421
220;Aa;1;2.25;50.75;1804;5.901188706;12.74660145;18.17791933;9.775341612
221;Adour;3;-0.75;43.75;1804;10.8478634;16.13125055;21.18066684;13.69873417
222;Ason;289;-3.25;43.25;1804;11.59657426;15.41549405;20.18143995;14.64063795
223;Aulne;14;-4.25;48.25;1804;8.606478604;12.90419885;17.49279323;11.68520008
224;Authie;15;1.75;50.25;1804;5.242026589;12.75550241;17.98976921;8.570819277
225;Auzance;16;-1.75;46.75;1804;7.566385905;14.15767693;19.49963749;10.54699707
226;Bidassoa;284;-1.75;43.25;1804;4.792089289;11.55380804;16.6441151;7.156072443
227;Blavet;23;-3.25;47.75;1804;6.987771699;12.50595925;17.39588512;10.01198971
228;Bresle;25;1.25;50.25;1804;5.242026589;12.75550241;17.98976921;8.570819277
229;Canche;29;1.75;50.25;1804;5.901188706;12.74660145;18.17791933;9.775341612
230;Charente;32;-0.75;45.75;1804;9.818679347;15.15386038;20.37257709;12.84755268
231;Couesnon;36;-1.25;48.75;1804;5.677861069;12.2919478;17.41498912;8.589176987
232;Deva_Cares;279;-2.25;43.25;1804;5.127417362;11.26612623;16.1364071;7.405676639
233;Dives;41;-0.25;49.25;1804;6.758378462;12.95171287;18.22304281;10.38011031
234;Douro;45;-8.25;41.25;1804;9.699079109;14.340861;19.89746094;12.23048817
235;Douve;46;-1.25;49.25;1804;7.613628041;12.98177268;18.02831199;11.20263672
236;Drammens;47;10.25;59.75;1804;-5.519149318;6.532294996;13.67980865;-0.276583585
237;Eider;331;7.25;53.25;1804;3.205402721;12.02113111;18.31683072;7.514377478
238;Elbe;51;9.5;53.75;1804;2.137810909;12.07003229;18.29514012;6.122696385
239;Elorn;52;-4.25;48.25;1804;8.606478604;12.90419885;17.49279323;11.68520008
240;Ems;53;7.25;53.25;1804;4.454292066;11.80048347;18.33567486;9.227103493
